industria,anio,valor
Actividades de apoyo para otras actividades de explotación de minas y canteras,,190.40247678018576
Actividades de atención de la salud humana y de servicios sociales,2005.0,56.489511899959666
Actividades de atención de la salud humana y de servicios sociales,2005.0,56.489511899959666
Actividades de atención de la salud humana y de servicios sociales,2006.0,59.52685119470074
Actividades de atención de la salud humana y de servicios sociales,2006.0,59.52685119470074
Actividades de atención de la salud humana y de servicios sociales,2007.0,63.0879911455451
Actividades de atención de la salud humana y de servicios sociales,2007.0,63.0879911455451
Actividades de atención de la salud humana y de servicios sociales,2008.0,65.81494211287988
Actividades de atención de la salud humana y de servicios sociales,2008.0,65.81494211287988
Actividades de atención de la salud humana y de servicios sociales,2009.0,69.54941542234094
Actividades de atención de la salud humana y de servicios sociales,2009.0,69.54941542234094
Actividades de atención de la salud humana y de servicios sociales,2010.0,74.88228057523439
Actividades de atención de la salud humana y de servicios sociales,2010.0,74.88228057523439
Actividades de atención de la salud humana y de servicios sociales,2011.0,81.19510862713788
Actividades de atención de la salud humana y de servicios sociales,2011.0,81.19510862713788
Actividades de atención de la salud humana y de servicios sociales,2012.0,88.80606036184874
Actividades de atención de la salud humana y de servicios sociales,2012.0,88.80606036184874
Actividades de atención de la salud humana y de servicios sociales,2013.0,89.94640547033819
Actividades de atención de la salud humana y de servicios sociales,2013.0,89.94640547033819
Actividades de atención de la salud humana y de servicios sociales,2014.0,97.49981987174868
Actividades de atención de la salud humana y de servicios sociales,2014.0,97.49981987174868
Actividades de atención de la salud humana y de servicios sociales,2015.0,100.0
Actividades de atención de la salud humana y de servicios sociales,2015.0,100.0
Actividades de atención de la salud humana y de servicios sociales,2016.0,104.91143582808324
Actividades de atención de la salud humana y de servicios sociales,2016.0,104.91143582808324
Actividades de atención de la salud humana y de servicios sociales,2017.0,112.25110532752187
Actividades de atención de la salud humana y de servicios sociales,2017.0,112.25110532752187
Actividades de atención de la salud humana y de servicios sociales,2018.0,117.38650270125063
Actividades de atención de la salud humana y de servicios sociales,2018.0,117.38650270125063
Actividades de atención de la salud humana y de servicios sociales,2019.0,119.1870873895043
Actividades de atención de la salud humana y de servicios sociales,2019.0,119.1870873895043
Actividades de atención de la salud humana y de servicios sociales,2020.0,121.11324376199617
Actividades de atención de la salud humana y de servicios sociales,2020.0,121.11324376199617
Actividades de atención de la salud humana y de servicios sociales,2021.0,126.1582306230818
Actividades de atención de la salud humana y de servicios sociales,2021.0,126.1582306230818
Actividades de atención de la salud humana y de servicios sociales,2022.0,138.202929530935
Actividades de atención de la salud humana y de servicios sociales,2022.0,138.202929530935
